record_id,vehicle_id,date,maintenance_type,failure_type,severity,parts_replaced,repair_cost,downtime_hours,technician_id,workshop_id,root_cause,action_taken,notes,next_maintenance_date
REC-VEH-1000-148,VEH-1000,2026-02-09T22:26:25.934851,preventive,engine,critical,"['oil filter', 'spark plugs', 'air filter', 'piston rings']",5317.31,70.4,TECH-015,WS-003,Wear and tear on engine components,"Replaced oil filter, spark plugs, air filter, piston rings",Routine critical maintenance,2026-04-09T22:26:25.934851
REC-VEH-1000-97,VEH-1000,2026-04-01T22:26:25.965475,preventive,engine,low,['air filter'],214.86,3.6,TECH-010,WS-002,Wear and tear on engine components,Replaced air filter,Routine low maintenance,2026-05-09T22:26:25.965475
REC-VEH-1000-70,VEH-1000,2026-04-28T22:26:25.966059,predictive,transmission,low,['gears'],269.01,1.2,TECH-013,WS-001,Wear and tear on transmission components,Replaced gears,Routine low maintenance,2026-07-17T22:26:25.966059
REC-VEH-1000-49,VEH-1000,2026-05-19T22:26:25.966344,preventive,brake,critical,"['calipers', 'brake rotors', 'brake fluid', 'brake pads']",5733.62,72.2,TECH-002,WS-001,Wear and tear on brake components,"Replaced calipers, brake rotors, brake fluid, brake pads",Routine critical maintenance,2026-07-19T22:26:25.966344
REC-VEH-1000-196,VEH-1000,2025-12-23T22:26:25.966512,predictive,transmission,low,['clutch'],223.85,2.6,TECH-005,WS-003,Wear and tear on transmission components,Replaced clutch,Routine low maintenance,2026-03-08T22:26:25.966512
REC-VEH-1000-91,VEH-1000,2026-04-07T22:26:25.966682,predictive,electrical,low,['alternator'],266.36,3.5,TECH-018,WS-003,Wear and tear on electrical components,Replaced alternator,Routine low maintenance,2026-06-23T22:26:25.966682
REC-VEH-1000-58,VEH-1000,2026-05-10T22:26:25.966837,corrective,electrical,medium,"['battery', 'starter motor']",871.59,7.1,TECH-005,WS-002,Wear and tear on electrical components,"Replaced battery, starter motor",Routine medium maintenance,2026-07-28T22:26:25.966837
REC-VEH-1000-166,VEH-1000,2026-01-22T22:26:25.966995,corrective,engine,low,['spark plugs'],245.54,1.6,TECH-017,WS-001,Wear and tear on engine components,Replaced spark plugs,Routine low maintenance,2026-03-26T22:26:25.966995
REC-VEH-1000-223,VEH-1000,2025-11-26T22:26:25.967133,predictive,transmission,medium,"['transmission fluid', 'synchros']",781.62,11.4,TECH-013,WS-004,Wear and tear on transmission components,"Replaced transmission fluid, synchros",Routine medium maintenance,2026-01-23T22:26:25.967133
REC-VEH-1000-224,VEH-1000,2025-11-25T22:26:25.967274,corrective,engine,medium,"['oil filter', 'spark plugs']",805.55,6.9,TECH-012,WS-002,Wear and tear on engine components,"Replaced oil filter, spark plugs",Routine medium maintenance,2026-01-26T22:26:25.967274
REC-VEH-1000-25,VEH-1000,2026-06-12T22:26:25.967410,preventive,electrical,low,['wiring harness'],280.58,1.0,TECH-019,WS-002,Wear and tear on electrical components,Replaced wiring harness,Routine low maintenance,2026-09-06T22:26:25.967410
REC-VEH-1000-30,VEH-1000,2026-06-07T22:26:25.967548,preventive,electrical,low,['alternator'],183.64,1.9,TECH-008,WS-003,Wear and tear on electrical components,Replaced alternator,Routine low maintenance,2026-07-24T22:26:25.967548
REC-VEH-1000-81,VEH-1000,2026-04-17T22:26:25.967687,preventive,engine,medium,"['piston rings', 'spark plugs']",806.53,6.1,TECH-008,WS-004,Wear and tear on engine components,"Replaced piston rings, spark plugs",Routine medium maintenance,2026-06-15T22:26:25.967687
